Група;т1;к1;д1;сем;т2;к2;д2;Изпит Т;Изпит З;Теория;Задачи;Точки;Оценка
Група 1;;;;;;;;;;;;;
Група 1;;;;;;;;;;;;;
Група 1;;0;0;7;;;;;;0;7;7;2
Група 1;4;2,4;3;20;2;3;;40;25,75;46;54,15;100,15;6
Група 1;4;4,6;3,8;28;1;4,4;5;37;19;42;64,8;106,8;6
Група 1;;;;;;;;;;;;;
Група 1;4;3,8;3;22;0;2,5;2,8;40;22,5;44;56,6;100,6;6
Група 1;0;0,4;0;;;;;;;0;0,4;0,4;2
Група 1;3;3,2;1,4;13;3;2,7;1,4;30;18;36;39,7;75,7;4
Група 1;4;5;4,4;28;5;4,6;4;40;27,5;49;73,5;122,5;6
Група 1;3;0;0;0;0;0;0;5;;8;0;8;2
Група 1;3;2,5;;;;;;;;3;2,5;5,5;2
Група 1;;;;;;;;;;;;;
Група 1;3;1,6;2;12,5;;;;12;14,5;15;30,6;45,6;3
Група 1;2;0,1;1,1;4;0;0;;0;;2;5,2;7,2;2
Група 1;1;0,2;2;5;;;;;;1;7,2;8,2;2
Група 1;1,5;0,1;;;;;;;;1,5;0,1;1,6;2
Група 1;0;0,7;0,1;2,5;;;;15;1,5;15;4,8;19,8;2
Група 1;2;0,1;;;;;;13;10,5;15;10,6;25,6;2
Група 1;2;0,3;0;4;;;;;;2;4,3;6,3;2
Група 1;0;0;1,7;;1;0;;0;;1;1,7;2,7;2
Група 1;2;1,4;3,3;12,5;0;0,7;0;;;2;17,9;19,9;2
Група 1;0;3,3;3,8;15;3;1,1;1;20;13;23;37,2;60,2;4
Група 1;3;2,2;2,6;23,5;1;;;30;8,5;34;36,8;70,8;4
Група 1;2;0;2,1;8;;;;5;;7;10,1;17,1;2
Група 1;0;0,2;1;3,5;;;;;;0;4,7;4,7;2
Група 1;;;;;;;;;;;;;
Група 1;;0,3;0;7,5;;;;;;0;7,8;7,8;2
Група 2;;;;;;;;;;;;;
Група 2;;;;;;;;;;;;;
Група 2;2;0,1;2,1;0;2;0,5;2,2;17;3;21;7,9;28,9;2
Група 2;2;0,7;0;6;;;;;;2;6,7;8,7;2
Група 2;4;3,8;1,5;17;4;2,4;1;40;20;48;45,7;93,7;5
Група 2;3;1;0;8;0;0,8;0,3;24;6;27;16,1;43,1;2
Група 2;4;4,4;2,7;28;3;3,7;3,1;40;25;47;66,9;113,9;6
Група 2;4;1,2;0,2;12;1;2,5;0,8;40;13;45;29,7;74,7;4
Група 2;4,5;4,4;4,3;22;3;4,5;3;40;23;47,5;61,2;108,7;6
Група 2;2;0,4;0;0;0;;;;;2;0,4;2,4;2
Група 2;3;5;4,7;27;0;5;5;40;25;43;71,7;114,7;6
Група 2;2;3,2;3,2;20;0;2,7;;40;17;42;46,1;88,1;5
Група 2;3;1,4;3,2;15;;1,4;;25;12;28;33;61;4
Група 2;4;1,8;1,7;8;2;3;0,6;30;12;36;27,1;63,1;4
Група 2;2;2,3;2,7;15;1;2,3;2,5;15;15;18;39,8;57,8;3
Група 2;1,5;0,2;0;;1;3,9;2,3;27;19;29,5;25,4;54,9;3
Група 2;5;5;5;30;5;5;5;40;;50;50;100;6
Група 2;1,5;1,2;3,6;4;1;2;1;28;9;30,5;20,8;51,3;3
Група 2;3;3,1;1;17;1;3,7;1,4;37;21;41;47,2;88,2;5
Група 2;3;2,5;1,5;26;1;2;;40;22;44;54;98;5
Група 2;1;0,4;2,3;3;0;0,5;;7;;8;6,2;14,2;2
Група 2;3;0,2;0,9;14;0;1,8;3;35;1;38;20,9;58,9;3
Група 2;1;0;0;;1;0,7;;5;;7;0,7;7,7;2
Група 2;1;0,7;1,1;6;0;2,1;1;32;15;33;25,9;58,9;3
Група 2;;;;;;;;;;;;;
Група 2;3;0;0;2;0;0,5;;20;6;23;8,5;31,5;2
Група 2;2;1,8;1,2;5;1;2;1,9;24;9;27;20,9;47,9;3
Група 2;3;4,3;0,3;22;3;2,5;;33;16;39;45,1;84,1;5
Група 3;;0;0;0;;0;;;;0;0;0;2
Група 3;2;0,6;2;10;;1;0,8;30;6;32;20,4;52,4;3
Група 3;1;1,1;;12;2;2,2;0,9;35;9;38;25,2;63,2;4
Група 3;2;4;0;15;;0;;0;;2;19;21;2
Група 3;3;1,2;4,7;12;2;4,5;2,3;32;9;37;33,7;70,7;4
Група 3;4;1,7;4,1;9;2;2,5;2,7;37;10,25;43;30,25;73,25;4
Група 3;1;0,6;3,2;16;0;0,9;0,2;35;12;36;32,9;68,9;4
Група 3;4;2,5;4,4;20;3;0;;38;17,25;45;44,15;89,15;5
Група 3;2;2,8;3,2;25;1;2;1,1;15;8;18;42,1;60,1;4
Група 3;3;1;2,2;11;0;1,4;0,8;15;17;18;33,4;51,4;3
Група 3;5;2,7;4,7;26;2,5;4,8;4,6;40;26;47,5;68,8;116,3;6
Група 3;1;0;0;0;;0;;;;1;0;1;2
Група 3;3;0,7;4,4;11;0;3,1;3,5;17;6,6;20;29,3;49,3;3
Група 3;1;0;4,4;3;0;0;2,7;27;8;28;18,1;46,1;2
Група 3;2;3;2,9;23;3;3;1;35;15,6;40;48,5;88,5;5
Група 3;2;0,3;2,7;2;0;4;2,5;25;12,75;27;24,25;51,25;3
