Група;к1;т1;д1;сем;к2;т2;д2;Изпит Т;Изпит З;Теория;Задачи;Точки;Оценка
Група 1;;;;;;;;;;;;;
Група 1;;;;;;;;;;;;;
Група 1;;;;;;;;;;;;;
Група 1;1,6;;;;;;;0;;0;1,6;1,6;2
Група 1;;2;0,4;1,5;0;2;;11;2,5;15;4,4;19,4;2
Група 1;1,2;2;2,8;5;1;0;3,6;15;12;17;25,6;42,6;3
Група 1;1,7;3;2,5;10;1,2;1;3,6;22;6,5;26;25,5;51,5;3
Група 1;;;;;;;;;;;;;
Група 1;;;;;;;;;;;;;
Група 1;1,6;1;3;16;1,5;4;2,2;40;20;45;44,3;89,3;5
Група 1;3,5;1;2,8;9,5;3,75;4;2,3;33;15,5;38;37,35;75,35;4
Група 1;0,2;1;;;;;;0;;1;0,2;1,2;2
Група 1;0;;;;;;;;;;;;
Група 1;2,2;1;2,6;5;2,25;3;1,2;30;13;34;26,25;60,25;4
Група 1;4,5;0;;7,5;3;4,5;3,7;24;20;28,5;38,7;67,2;4
Група 1;0,8;1,5;2,8;6;2,5;3,5;0,9;0;;5;13;18;2
Група 1;3,2;1;2,9;5,5;2,6;4;2;37;9,5;42;25,7;67,7;4
Група 1;0,3;0,5;3;7,5;0,25;4;1,2;25;6;29,5;18,25;47,75;2
Група 1;2,1;1;4;13,5;0,75;4;2,3;22;13,5;27;36,15;63,15;4
Група 1;1,4;0,5;2,9;8;3,25;2;1,9;15;15;17,5;32,45;49,95;3
Група 1;4,5;2;2,7;23;5;;;20;16;22;51,2;73,2;4
Група 1;;;;;;;;;;;;;
Група 1;0;0;4,1;14,5;4,75;4;4,1;20;14;24;41,45;65,45;4
Група 1;2,4;3;;5,5;2,25;4;;20;8;27;18,15;45,15;2
Група 1;;;;;;;;;;;;;
Група 1;4,5;3;2,4;20;5;4,5;3,6;37;24;44,5;59,5;104;6
Група 1;;;;;;;;;;;;;
Група 1;1,2;2;1,3;0,5;0,5;2;1,1;25;7;29;11,6;40,6;2
Група 1;5;3;3,5;20,5;4,75;3,5;4,2;35;21;41,5;58,95;100,45;6
Група 1;0,1;3;;1;;;1,5;0;;3;2,6;5,6;2
Група 1;0,2;0;2;2;;0;1,8;25;2,5;25;8,5;33,5;2
Група 1;0,3;1;;3,5;0,25;4,5;1,8;20;8,5;25,5;14,35;39,85;2
Група 1;;;;;;;;;;;;;
Група 2;;;;;;;;;;;;;
Група 2;;;;;0,2;;;0;;0;0,2;0,2;2
Група 2;0,5;1;2,5;4;1,4;;;;;1;8,4;9,4;2
Група 2;1,6;1;1,4;7;0,2;;1,3;30;3,5;31;15;46;2
Група 2;1,5;2,5;4,3;8,5;0,4;0,5;3,5;15;7;18;25,2;43,2;3
Група 2;0,6;1;2,3;8,5;4;2,5;2,9;18;12;21,5;30,3;51,8;3
Група 2;0,7;1;1,5;9,5;1,7;;1,9;35;10;36;25,3;61,3;4
Група 2;0;2;3;2;0;0;4,1;30;3;32;12,1;44,1;2
Група 2;2,8;3;4,5;15;5;5;4,2;40;17;48;48,5;96,5;5
Група 2;0,6;1;1,9;6;2,2;1,5;2,6;27;12;29,5;25,3;54,8;3
Група 2;2,2;4;4,1;15,5;4,5;5;4,4;40;20,5;49;51,2;100,2;6
Група 2;3,6;4;5;26;4,5;5;4;35;27;44;70,1;114,1;6
Група 2;1,1;0,5;0,9;11;0;2;;3;;5,5;13;18,5;2
Група 2;1,4;3;;15,5;3,5;;;40;6;43;26,4;69,4;4
Група 2;0,7;1,5;2,6;17,5;2,8;;2,7;35;0;36,5;26,3;62,8;4
Група 2;0,8;3;;5,5;0,4;2;2;30;16,5;35;25,2;60,2;4
Група 2;2,2;3;4,3;15;5;4,5;4;38;20;45,5;50,5;96;5
Група 2;3,6;4,5;4,5;21,5;5;4;5;40;26;48,5;65,6;114,1;6
Група 2;0;0;2,4;2;0,8;1;2,8;0;;1;8;9;2
Група 2;0;0;1,7;0;0;0;2;0;;0;3,7;3,7;2
Група 2;0,2;2,5;1,1;0;;1;2,3;0;;3,5;3,6;7,1;2
Група 2;0,4;1,5;2,2;5;2;4;2,9;10;12,5;15,5;25;40,5;3
Група 2;0;1;1,5;0;0;1;;15;0,5;17;2;19;2
Група 2;1,5;2;2,8;10,5;1,2;3,5;3,3;20;7,5;25,5;26,8;52,3;3
Група 2;;;;;;;;;;;;;
Група 2;0,2;1;1,5;1;1,7;4;2,8;25;5,5;30;12,7;42,7;2
Група 2;0;2;2,5;0,5;;0;1,9;0;;2;4,9;6,9;2
Група 2;1;1;1,6;4,5;0,1;0;1,8;30;10;31;19;50;2
Група 2;1;2;3,3;4,5;;;4,2;15;0;17;13;30;2
Група 2;3,5;1;2,9;11;1,8;;3,1;20;21;21;43,3;64,3;4
Група 3;;;;;;;;;;;;;
Група 3;;;;;;;;;;;;;
Група 3;;;;;;;;;;;;;
Група 3;1,3;1;1,7;9,5;2,1;5;1,5;30;10;36;26,1;62,1;4
Група 3;2,1;1;3,2;14;1,5;4,5;2,5;28;19;33,5;42,3;75,8;4
Група 3;0,1;;0,2;4;;;;5;;5;4,3;9,3;2
Група 3;0,1;;;;;;;;;0;0,1;0,1;2
Група 3;;;;;;;;;;;;;
Група 3;;1;0,5;7;1;2;2,5;20;7;23;18;41;2
